Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
dagm,Class1,0.9984210820478426,0.9787234042053218,0.9898821819012226,0.9636923400180628,0.6575221853582557,0.6797353453913452,0.9456711488369448
dagm,Class2,1.0,0.99999999995,1.0,0.9944573620608538,0.6293983426907838,0.6333167558371893,0.987537476919334
dagm,Class3,1.0,0.99999999995,1.0,0.9802435668696796,0.7204160029482769,0.7521527553922571,0.9619801183978388
dagm,Class4,0.9992023436593572,0.9701492536813544,0.9939982152610684,0.9549914806850328,0.3151461207036563,0.3057417943497617,0.8920526483649848
dagm,Class5,1.0,0.99999999995,1.0,0.9967934567205272,0.7961056840777392,0.8762290809268103,0.9922149161263998
dagm,Class6,1.0,0.99999999995,1.0,0.9850898580458904,0.8162366390792438,0.8526540246650431,0.9609096224152552
dagm,Class7,0.99999,0.996677740813788,0.9999114054451804,0.9604556379620062,0.7799690053896451,0.7927486425487182,0.9521922114949336
dagm,Class8,1.0,0.99999999995,1.0000000000000004,0.994198435477158,0.5599277512081378,0.524908226538764,0.9743168655051878
dagm,Class9,0.99911,0.9675324674825012,0.9938526575818332,0.9934282105988244,0.5145640339487685,0.4345301552318816,0.9786652799781258
dagm,Class10,0.9964,0.9659863945078438,0.9866735836271318,0.9821952696698673,0.5641365594461952,0.5058045894101102,0.9549677655853344
dagm,Average,0.99931234257072,0.9879069260440809,0.9964318043816437,0.9805545618107903,0.6353422324850702,0.6357821370291881,0.9600508053624338
