Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
eyecandies,CandyCane,0.5848,0.6849315068042785,0.6340303905585405,0.9674316220044336,0.0489164086470766,0.0202538500080096,0.911738253430035
eyecandies,ChocolateCookie,0.7464000000000001,0.780487804830458,0.8387105116054996,0.9767207075582878,0.2640812557219027,0.2138915011200725,0.9069001423845152
eyecandies,ChocolatePraline,0.9072,0.87999999995,0.9295114122416211,0.9442488880782668,0.4686144055043175,0.3986532230881097,0.8883310332278143
eyecandies,GummyBear,0.5483091787439613,0.6301369862582098,0.5482700630397157,0.9611010950606204,0.2007268660413216,0.1140541859053216,0.8092985876533431
eyecandies,HazelnutTruffle,0.8016000000000001,0.7906976743699298,0.8738285525278613,0.9383472514534276,0.4018058690245464,0.3495528334487103,0.7132245426539379
eyecandies,LicoriceSandwich,0.8407999999999999,0.8070175438104032,0.8459424832878393,0.880419157975329,0.0556763809904832,0.0135888282957929,0.6537329178926925
eyecandies,Lollipop,0.7561904761904763,0.6249999999501953,0.5469594055518043,0.9836612038750424,0.1279165522645154,0.0574655992709189,0.8888786061049533
eyecandies,Marshmallow,0.8488,0.8260869564721172,0.8975267165932533,0.9246522648169944,0.3702142605761722,0.2919209798738832,0.766133679320927
eyecandies,PeppermintCandy,0.8200000000000001,0.8444444443950617,0.8966185146892554,0.9331801029961472,0.2551892551392613,0.1640730314732882,0.8072957566015025
eyecandies,Average,0.7615666283260486,0.7632003240934059,0.7790442277883768,0.9455291437576167,0.2436823615455108,0.18038378138712297,0.8161703910299689
