Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
mpdd,bracket_black,0.8793218085106382,0.87999999995018,0.909959136859696,0.9811179029074558,0.1524625267291703,0.0606266402259491,0.9421754215447308
mpdd,bracket_brown,0.4939668174962293,0.7968749999520629,0.6894096951286849,0.9575336403601934,0.1537255926008551,0.0727987626141039,0.8390914629717637
mpdd,bracket_white,0.88,0.7941176470095155,0.9000943430574186,0.979557087717902,0.2403846153387759,0.1650315697802679,0.8840963867274043
mpdd,connector,0.9666666666666668,0.8484848484359963,0.9416371811882648,0.9837941756380292,0.4373289545225427,0.4535012245061182,0.94532785646325
mpdd,metal_plate,0.924972914409534,0.9064748200939085,0.9730565735949146,0.9112230502756828,0.5470908770846378,0.5784045071501431,0.8156306818302783
mpdd,tubes,1.0,0.99999999995,1.0,0.9962886463314944,0.7195074529636458,0.8114706395826947,0.9865458704121448
mpdd,Average,0.8574880345138447,0.8709920525652772,0.9023594883048299,0.9682524172051264,0.3750833365399379,0.3569722239765462,0.9021446133249286
