Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
eyecandies,CandyCane,0.6759999999999999,0.7118644067308245,0.6933706228350629,0.9611317309176436,0.0410958903613927,0.0139661586161776,0.8777282475840402
eyecandies,ChocolateCookie,0.9536,0.9583333332834202,0.9742857142857144,0.9666549059499532,0.3342428376073896,0.2426554476093372,0.870731278027924
eyecandies,ChocolatePraline,0.928,0.8979591836234903,0.952294392762478,0.9563601920380848,0.5059181602478345,0.4766108812090022,0.8859824682315303
eyecandies,GummyBear,0.8083735909822867,0.77551020403182,0.8354224825429124,0.9812162954010568,0.3172774868646298,0.2098153352294532,0.9038145026449048
eyecandies,HazelnutTruffle,0.7599999999999999,0.7179487179026957,0.8293895501344353,0.9267690512057996,0.3540051679160184,0.2756157069536385,0.7197541972899749
eyecandies,LicoriceSandwich,0.8288,0.8301886791954431,0.8235058406503748,0.959593690887058,0.1667896678477574,0.0799470307501281,0.832013885793841
eyecandies,Lollipop,0.7180952380952381,0.5853658536121357,0.5198774126189868,0.9621389672868846,0.0759702724520671,0.0268911313663493,0.8400158632742157
eyecandies,Marshmallow,0.8912,0.8444444443950617,0.920608213417037,0.9612647410604194,0.5135566187698327,0.471171415333584,0.8373522471876365
eyecandies,PeppermintCandy,0.8752000000000001,0.8181818181327478,0.8935169642596075,0.9614057013403774,0.3622641508934824,0.2488354633730294,0.8828596818709689
eyecandies,Average,0.8265854254530584,0.7933107378786265,0.8269190215007343,0.959615030676364,0.29679113921782274,0.2272787300489666,0.8500280413227819
