Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
dagm,Class1,0.9991616364855802,0.9859154929077464,0.9928830072892628,0.9878700370819158,0.762570022403077,0.7974586640745733,0.9792057272228588
dagm,Class2,1.0,0.99999999995,0.9999999999999996,0.999183338486721,0.6281868476094673,0.6462113362790706,0.9982533610602372
dagm,Class3,0.9999515080981476,0.994011975997906,0.999723145071982,0.991251443825976,0.7074355917717726,0.7739116976376292,0.9873446734326424
dagm,Class4,0.964366515837104,0.770270270220599,0.7330748793214297,0.9001742686348648,0.117021356941375,0.0414799423350463,0.7571512563269257
dagm,Class5,0.9999242424242424,0.9937888198257784,0.9995312011642442,0.9979159840981962,0.7991660875108691,0.8846054365432354,0.9932310874133536
dagm,Class6,1.0,0.99999999995,1.0000000000000002,0.9964481137354546,0.8096731929157683,0.8843840134134784,0.9908217082429548
dagm,Class7,1.0,0.99999999995,1.0,0.9913412504108292,0.8021018528995074,0.8652686661769575,0.986447938770796
dagm,Class8,0.9979766666666668,0.9932885905540292,0.994763963047716,0.9925397146148778,0.5736374672047888,0.5595857633148207,0.9870542547658194
dagm,Class9,0.98732,0.9023569023069076,0.9203217690293892,0.999226541622238,0.5963907189417993,0.6112607296916522,0.9974754896546714
dagm,Class10,0.9999166666666668,0.9867549668374194,0.9994372472036236,0.9883438520367108,0.4355046947857516,0.3823853145447037,0.9663346750728384
dagm,Average,0.9948617236178409,0.9626387018500389,0.9639735212127647,0.9844294544547785,0.6231687832984176,0.6446551564011167,0.9643320171963099
