Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
real_iad_3d,audio_jack_socket,0.57425,0.9029345371965208,0.8102128612570485,0.6510233239622834,0.0100971904762913,0.004316978722424,0.170694381908196
real_iad_3d,connector_housing_female,0.7114666666666667,0.8571428570938775,0.9160150521968368,0.9658904337685466,0.5329046273700274,0.5719648504516488,0.6104731249165779
real_iad_3d,dc_power_connector,0.8286,0.9162790697176852,0.9339283056747244,0.8658020045503145,0.056733897177604,0.0197622221648829,0.42854733004809
real_iad_3d,ferrite_bead,0.8155,0.8461538461049017,0.8969964528731063,0.9319004687002148,0.2472902448403059,0.1741359886587143,0.6405181665710571
real_iad_3d,fuse_holder,0.8168000000000001,0.8909090908595042,0.9241194173966903,0.949151281526762,0.2674905321412135,0.1645320860817051,0.7856939776409919
real_iad_3d,humidity_sensor,0.6015999999999999,0.8888888888395062,0.9017047219856236,0.9107203119543424,0.4903254669008794,0.3900376578866978,0.575971545929923
real_iad_3d,lattice_block_plug,0.6072000000000001,0.8918918918423829,0.8497459315325889,0.8096904497693687,0.1780195864608175,0.1061348249067075,0.4986494341642761
real_iad_3d,lego_propeller,0.9976666666666668,0.996677740813788,0.9991598029141618,0.8779766426346843,0.0569916547448843,0.0115782530830394,0.6031204265769069
real_iad_3d,miniature_lifting_motor,0.5468,0.799999999952,0.7192665110845413,0.7690407940016306,0.0210392472613634,0.0091038304245004,0.3370514412509863
real_iad_3d,purple_clay_pot,0.92095,0.9455445544054504,0.9758452482782884,0.9880581494870244,0.6739323842921939,0.6781765045106801,0.900220119860399
real_iad_3d,common_mode_filter,0.6195999999999999,0.8928571428077168,0.8800624883781278,0.8255184395492776,0.1716224115694192,0.0860483366739118,0.5384409024203727
real_iad_3d,crimp_st_cable_mount_box,0.8431333333333334,0.8787878787382921,0.9490587947378613,0.9352553571124292,0.415950775006259,0.3872129555640792,0.6546160716902208
real_iad_3d,ethernet_connector,0.9019333333333333,0.9265175718350704,0.9620873188666842,0.7911399637566057,0.1371382201450267,0.0650207158392918,0.3746891676591497
real_iad_3d,fork_crimp_terminal,0.5746666666666667,0.8571428570938775,0.8467847082792037,0.9692572538426304,0.4947977537206619,0.4875320058979172,0.7092318925463009
real_iad_3d,headphone_jack_socket,0.8818799999999999,0.9400386846695898,0.9682277023557232,0.8796385501608608,0.0880407328222973,0.0525150098931015,0.5473940164893268
real_iad_3d,knob_cap,0.7124666666666667,0.8571428570938775,0.896147586782607,0.9486638133658742,0.6270827505795953,0.6070497166280048,0.6737727972135503
real_iad_3d,lego_pin_connector_plate,0.9566,0.9560975609256396,0.9887124510394304,0.9401398451623966,0.3773184949178963,0.3807041202834729,0.6104603952336345
real_iad_3d,limit_switch,0.8237000000000001,0.8888888888395062,0.9474193747689132,0.9295355294105108,0.1939765825147056,0.1432398677729058,0.5517735039252254
real_iad_3d,power_jack,0.5972,0.799999999952,0.8042491516326453,0.7711596181787852,0.1921830314242739,0.1121682194540182,0.3111470133255821
real_iad_3d,telephone_spring_switch,0.6749200000000001,0.9090909090413224,0.928865123975882,0.8726802951739906,0.3998375377450978,0.3461421120850981,0.4897411663304249
real_iad_3d,Average,0.7503466666666668,0.8921493413911253,0.9049304503005345,0.8791121263034265,0.28163865610554073,0.23986881284914005,0.5506103437850596
