Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
visa,candle,0.9854,0.93999999995,0.98683171665283,0.992898133207738,0.4340143566599609,0.3705815914708246,0.9499802144371357
visa,capsules,0.9665833333333332,0.9246231155278908,0.9815731456476482,0.9780701862042248,0.4705971967843027,0.4029344527855467,0.9595838021648094
visa,cashew,0.9129,0.8795811517825718,0.9613419826462188,0.8952778376603252,0.1504244650388958,0.1290599694260561,0.911137291676616
visa,chewinggum,0.9884,0.9795918366847148,0.9952052511209412,0.9931240280119245,0.786947654606727,0.8511502153111574,0.8438115441701879
visa,fryum,0.9458,0.9340101522342756,0.97831406903881,0.9237134845395474,0.3229473038716017,0.2397251073533626,0.9125728796274842
visa,macaroni1,0.95865,0.8911917097946253,0.9653159124922588,0.994425376195745,0.2839879153578976,0.196418085672227,0.9557854357136294
visa,macaroni2,0.85855,0.7846889951654037,0.8797178173901666,0.978617181510144,0.1117117116680113,0.0319404406312059,0.88549505565309
visa,pcb1,0.85575,0.8118811880688167,0.8903395901932187,0.921882473630834,0.1355531007914938,0.0733996558880229,0.8919476891819832
visa,pcb2,0.83385,0.7644444443950617,0.859017105638772,0.9746250053964192,0.336744735242345,0.2764858364184636,0.883233285611748
visa,pcb3,0.8718811881188119,0.8202247190518874,0.9080726788488284,0.9201891444136076,0.1165909342290703,0.0500602923030751,0.7930062231691695
visa,pcb4,0.9804950495049504,0.9547738692967348,0.9853980035455296,0.9801226642120018,0.5000549994008704,0.4403058467497432,0.8936646400481737
visa,pipe_fryum,0.9891,0.9797979797479848,0.9956086995799572,0.9375081864736888,0.1866007772395096,0.1433769489406055,0.9743221460748788
visa,Average,0.9289466309130914,0.8887340968083307,0.9488946643995982,0.9575378084546834,0.31968126257422386,0.26711987024585754,0.9045450172940757
