Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
visa,candle,0.9312,0.868292682876859,0.9346186498997732,0.984052266180049,0.442060907822592,0.3888256440268041,0.9188686637825516
visa,capsules,0.9218333333333336,0.8756218904972649,0.9599839878697282,0.9600726138451144,0.4423366722316217,0.3624806829826227,0.8600031203032412
visa,cashew,0.9216,0.8969072164448931,0.965176782431993,0.9184889131061674,0.261956564689975,0.1837407923729264,0.8617683518876648
visa,chewinggum,0.9887,0.9743589743090072,0.9950140217623848,0.9953089820014048,0.7406239736774268,0.8163502831081464,0.9155728093756216
visa,fryum,0.961,0.92708333328342,0.9826524331734228,0.9323156572032132,0.2729352391815,0.2317259845791871,0.8394809722922649
visa,macaroni1,0.8665999999999999,0.8102564102064432,0.8736489944090262,0.9890038551770488,0.26589595371183,0.1641049397869522,0.9259364821377404
visa,macaroni2,0.7266500000000001,0.7281105990286478,0.7107564022768766,0.9746258056575732,0.0450778919247252,0.0113673422921962,0.8847726199775915
visa,pcb1,0.75385,0.7171717171217222,0.771448049608678,0.8586238192668936,0.141141773703378,0.0829129127741694,0.8427864991245804
visa,pcb2,0.83725,0.7809523809024944,0.8465426376860975,0.9130931204857672,0.2547111712770494,0.1467220406324589,0.763336977745805
visa,pcb3,0.8075742574257425,0.7857142856643066,0.849808553291519,0.914996489664248,0.204452255369689,0.0985681187026765,0.7900888199607415
visa,pcb4,0.9736138613861386,0.92999999995,0.9748763710208412,0.9649321663867788,0.3689092402931101,0.3163942664566582,0.8658034556050156
visa,pipe_fryum,0.9627,0.944162436498235,0.9781999295266636,0.930596597162654,0.2096111894794996,0.1667427964360867,0.9317308020306836
visa,Average,0.8877142876787678,0.8532193272319413,0.903560567746417,0.9446758571780759,0.30414273611353304,0.24749465034590704,0.8666791311852919
