Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
btad,01,0.9961127308066084,0.979591836684694,0.9984061128375998,0.7916760302022806,0.2358444257887046,0.2047281837166819,0.3947683691551924
btad,02,0.8135,0.9302325580897784,0.9693616596058732,0.8969457091008045,0.5489832042785001,0.543995042692827,0.6114182736314729
btad,03,0.7153353658536585,0.6075949366589328,0.5778085112398446,0.9746341864185676,0.4849423240235143,0.4425688621287242,0.9119636010327612
btad,Average,0.8416493655534224,0.8391397771444685,0.8485254278944391,0.8877519752405508,0.423256651363573,0.39709736284607766,0.6393834146064755
