Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
real_iad,audiojack,0.6652098520772878,0.5630712979414777,0.4544094208552187,0.9815807727842736,0.3813102433746421,0.3069010599149691,0.8580559938447554
real_iad,bottle_cap,0.948473556705264,0.8599221789383639,0.9375004396537476,0.9861650211475128,0.2827470686268018,0.2207176939889922,0.90571516299422
real_iad,button_battery,0.912770814276414,0.8603603603105454,0.9404150457026824,0.9663761638279876,0.4899900513286531,0.4720034625392721,0.8523266657069173
real_iad,end_cap,0.8045839589998043,0.7819706498457955,0.8708007440624846,0.9587496951526834,0.2004369196666567,0.1243854160998761,0.8423376872847029
real_iad,eraser,0.9111305584422686,0.8502415458446345,0.9142403986229686,0.9967912073108808,0.4656584750614335,0.4511923251752591,0.9577710899079164
real_iad,fire_hood,0.9459386767079074,0.8611111110612978,0.7898451226645267,0.995171158566607,0.4613308713387503,0.3500688835348696,0.9684846498895624
real_iad,mint,0.7236757741347906,0.755178907672444,0.8121967553769874,0.9829015748835443,0.5488868369255088,0.527116200981777,0.857754940587978
real_iad,mounts,0.9224025974025972,0.8593448939772573,0.8349958311449915,0.9975583833833408,0.578937511654935,0.6082260257960845,0.9870676970784787
real_iad,pcb,0.782240724274513,0.7848341231739718,0.8654771183523187,0.963103846093041,0.3019813797549208,0.2162573284138971,0.8550689657665433
real_iad,phone_battery,0.9425839370198668,0.8810720267506734,0.9499017021480128,0.9941567889369028,0.6038320423470679,0.5981839910476702,0.9332167744798198
real_iad,plastic_nut,0.9266239742311528,0.7413127412631356,0.7769850718526878,0.9870681324835748,0.4092898013636659,0.4047664542615306,0.8874713219161912
real_iad,plastic_plug,0.9351300614005974,0.8710937499500275,0.92053922287178,0.9882675777475894,0.2602938133164423,0.1857622226647222,0.9489647760846848
real_iad,porcelain_doll,0.9615506650421362,0.8695652173413047,0.9366638820586872,0.9887344652352066,0.3496881496381608,0.2927164640623768,0.9318142079942952
real_iad,regulator,0.9026427800012704,0.6984126983628117,0.7230406489863451,0.9857700945292436,0.3755868544112808,0.2852285846090063,0.8591327636099422
real_iad,rolled_strip_base,0.989434184675835,0.962524654782348,0.995058737059197,0.9957859521150608,0.4188752423553871,0.3931245894825113,0.9848169838656504
real_iad,sim_card_set,0.9756499420433846,0.9371146731929372,0.9804362573234604,0.9969564226864016,0.6427975140953422,0.6902326546256033,0.9623693415765918
real_iad,switch,0.8496201194810926,0.8313008129581764,0.9185776535961976,0.7404513593520075,0.2389095692126125,0.1499605939369882,0.6170700065739425
real_iad,tape,0.9909151973131822,0.9487750556292875,0.9885427683406588,0.9945481031922924,0.5090036013915809,0.4670635553665535,0.9820940197719132
real_iad,terminalblock,0.917955454214996,0.8601864180592963,0.94672759821161,0.9887057370775808,0.43339862874545,0.3709111153489718,0.9502217282846216
real_iad,toothbrush,0.8732464202786376,0.8509316769687898,0.9204285114214226,0.965257556545354,0.3356821219067533,0.229800078412683,0.9219318198205676
real_iad,toy,0.737936507936508,0.8071025019694943,0.8693858030743368,0.6888060479865691,0.1466282997216341,0.0764624468737189,0.5881011752311928
real_iad,toy_brick,0.828078078078078,0.7372262773223753,0.7884118079724373,0.9799196570959864,0.4162346581094291,0.3655973933189982,0.8363050195562712
real_iad,transistor1,0.8170696383312547,0.8151093438866102,0.8953594054130829,0.9478920857518924,0.303136418958814,0.2321251393181806,0.8215753715065349
real_iad,u_block,0.8958697393330421,0.7477477476986608,0.8260397077211703,0.9942426489192926,0.5205678921964161,0.4790144390338873,0.9571767110092898
real_iad,usb,0.8360259538701746,0.7458745874087459,0.8339470541602947,0.973214315991469,0.3989416989013827,0.3396239998120769,0.8346728112619314
real_iad,usb_adaptor,0.8654728927582114,0.7661016948653835,0.8469901924291279,0.959629531197882,0.3123262279421738,0.240283910853764,0.8064854767236497
real_iad,vcpill,0.9116979126401236,0.806930693019351,0.8831680227170526,0.995525615540654,0.6874416705053571,0.7387708477646922,0.9531609480941352
real_iad,wooden_beads,0.7952931995166487,0.769050410266857,0.8511217436190915,0.9730234169754032,0.3657968590890629,0.2843394052119039,0.7654390723070723
real_iad,woodstick,0.9413617569043532,0.7777777777277814,0.8024511339297605,0.9977873057231632,0.5721621910276966,0.6304779979635703,0.967141940446808
real_iad,zipper,0.997,0.986986986936987,0.9983979998231692,0.9701358197656652,0.2786885245454322,0.2326235327320569,0.9620728636816848
real_iad,Average,0.883586164269713,0.8196077605042275,0.869068526705517,0.9644758819333022,0.4096853712504481,0.3654645937715488,0.8851939328952622
