Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
visa,candle,0.98275,0.934673366784172,0.983887831546324,0.9870097784747756,0.4572335780411448,0.4230819284580355,0.924864173139511
visa,capsules,0.8360833333333334,0.8156424580512468,0.9159309355481408,0.9866822632187744,0.4637117870825458,0.3998235057082256,0.932185408098366
visa,cashew,0.8286,0.8292682926329566,0.9201574575569308,0.8720635673333055,0.156795592401695,0.1214749718418266,0.830478242898082
visa,chewinggum,0.9707999999999998,0.9746192892901132,0.9892254927117664,0.996141830484379,0.7886976201407166,0.8553865563660537,0.9088302107909922
visa,fryum,0.9447,0.9081632652561432,0.9756293046711212,0.934911677998404,0.3252463550474519,0.2602677358528226,0.9162034273593168
visa,macaroni1,0.9315,0.8478260869068998,0.9397265183884262,0.9826094103783528,0.2166212533618881,0.1020683110297787,0.8674606556482283
visa,macaroni2,0.77245,0.7350427349937906,0.7941710242833326,0.964698180532007,0.0206682741774818,0.0050937771052949,0.8366943230032433
visa,pcb1,0.8687999999999999,0.834224598880723,0.9044854822114552,0.9189488590626724,0.2217252828674812,0.1433232809602404,0.8308987839980302
visa,pcb2,0.9118500000000002,0.8613861385638663,0.9277648257647526,0.9251234599142198,0.1861880133366462,0.0823942287332695,0.6947383361763884
visa,pcb3,0.7788613861386139,0.7303370786024492,0.8358949457451672,0.8966444213880777,0.0569813453551494,0.0220442999201165,0.6472544197325699
visa,pcb4,0.97490099009901,0.9268292682427126,0.9749583343874824,0.9456131645884654,0.3884225530068926,0.2632489831882863,0.7742604528996561
visa,pipe_fryum,0.9781,0.9447236180404536,0.99010808447494,0.9132314179754047,0.1621198205974985,0.1264848053441207,0.9178902370253088
visa,Average,0.8982829757975797,0.8618946830204606,0.9293283531074866,0.9436398359457366,0.2870342896180493,0.23372436537567257,0.8401465558974744
