Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
real_iad_variety,3_adapter,0.8751100221233675,0.9435946462216388,0.9813628588367052,0.9748915611345912,0.5858991034558946,0.6145665520830697,0.8453521543819289
real_iad_variety,3pin_aviation_connector,0.7069900955048831,0.936272160946849,0.9517039495881636,0.9554182861871272,0.4754757116272629,0.5177886833245967,0.7901276397136311
real_iad_variety,4_wire_stepping_motor,0.5755600000000001,0.9411764705384082,0.928620187611914,0.6231256504463998,0.1157822000681933,0.0609302020541235,0.6152257831154181
real_iad_variety,access_card,0.8901319796954316,0.9411764705384028,0.9846062335437966,0.6874981202572492,0.225374304034356,0.1402218271449645,0.8025242929635428
real_iad_variety,accurate_detection_switch,0.7026078793279023,0.9388145314989444,0.9504336966101063,0.9153040183583764,0.4871362386158667,0.5162550163621732,0.7211289010412613
real_iad_variety,aircraft_model_head,0.9276921068395104,0.9488772096969008,0.9905277326524176,0.9963844799259236,0.7623247836295789,0.8466257187072619,0.9592577606175116
real_iad_variety,angled_toggle_switch,0.6275780466399198,0.939679547546789,0.9376096038374988,0.6507090222646273,0.1796616886994756,0.1337219267441616,0.3710732547748282
real_iad_variety,audio_jack_socket,0.6122808863100313,0.9077526986746124,0.8837601786953189,0.8733503192092297,0.1052296563762314,0.0621012861137102,0.5694181612497291
real_iad_variety,bag_buckle,0.8829656565656566,0.9463087247823438,0.9838494230711372,0.987192167171884,0.7544483263449002,0.8054742557582127,0.9112050544139328
real_iad_variety,ball_pin,0.9334254889810444,0.961331375378316,0.991027061974803,0.9818004488160624,0.5133904114454317,0.5291949006156715,0.9360222129690844
real_iad_variety,balun_transformer,0.7529963747564674,0.9164237122924288,0.9499373827815428,0.9276121305307092,0.5483102087077653,0.5236594698370732,0.6229905596821483
real_iad_variety,battery,0.6519255315836991,0.939179632199124,0.9368250243790512,0.8622570698265719,0.2426123511088771,0.1194767264142286,0.5580127630451575
real_iad_variety,battery_holder_connector,0.8911567851188078,0.9415176413227776,0.9841872715362964,0.9052686883272584,0.5279119013538579,0.5465670360860861,0.8491853261282686
real_iad_variety,battery_socket_connector,0.7405328877721516,0.9218974604198784,0.946446690492142,0.9302370318467555,0.5877681055544653,0.5957635792139812,0.5808246208156289
